Model,Scenario,Accuracy,Precision,Recall,F1,AUC
SVM,Original,0.92,0.92,0.92,0.92,0.9688
SVM,Variable Renaming,0.92,0.92,0.92,0.92,0.97
SVM,Comment Injection,0.92,0.92,0.92,0.92,0.9692
CNN,Original,0.96,0.9423076923076924,0.98,0.9607843137254902,0.9952
CNN,Variable Renaming,0.96,0.925925925925926,1.0,0.9615384615384616,0.9944
CNN,Comment Injection,0.96,0.9423076923076924,0.98,0.9607843137254902,0.9952
GraphCodeBERT,Original,0.99,0.9803921568627452,1.0,0.99009900990099,0.9964
GraphCodeBERT,Variable Renaming,0.98,0.9615384615384616,1.0,0.9803921568627452,0.996
GraphCodeBERT,Comment Injection,0.98,0.9615384615384616,1.0,0.9803921568627452,0.9956
